CaseID;Activity;Timestamp;Originator;Status_Halal
10061645561de3959e25dd4073077460;Cek informasi bahan;2022-01-12 02:13:52;uji;Syubhat
10061645561de3959e25dd4073077460;Cek sertifikat halal;2022-01-12 02:14:02;uji;Syubhat
10061645561de3959e25dd4073077460;Cek certificate analysis;2022-01-12 02:14:11;uji;Syubhat
10061645561de3959e25dd4073077460;Cek kelompok bahan;2022-01-12 02:14:22;uji;Syubhat
10061645561de3959e25dd4073077460;Cek bahan kritis margarin;2022-01-12 02:14:32;uji;Syubhat
10061645561de3959e25dd4073077460;Cek komponen flavor;2022-01-12 02:14:45;uji;Halal
10061645561de3959e25dd4073077460;Cek kehalalan hewan (flavor);2022-01-12 02:14:58;uji;Halal
10061645561de3959e25dd4073077460;Cek metode penyembelihan (flavor);2022-01-12 02:15:08;uji;Haram
10061645561de3959e25dd4073077460;Ambil Kesimpulan;2022-01-12 02:15:25;uji;Haram
10308837861dd275f46e598022622308;Cek informasi bahan;2022-01-11 06:44:54;uji;Syubhat
10308837861dd275f46e598022622308;Cek sertifikat halal;2022-01-11 06:45:59;uji;Syubhat
10308837861dd275f46e598022622308;Cek certificate analysis;2022-01-11 06:46:12;uji;Syubhat
10308837861dd275f46e598022622308;Cek COA DNA Babi;2022-01-11 06:46:25;uji;Halal
10308837861dd275f46e598022622308;Cek COA Kadar etanol;2022-01-11 06:46:53;uji;Halal
10308837861dd275f46e598022622308;Ambil Kesimpulan;2022-01-11 06:47:22;uji;Halal
10397338861de55bb484f39076242917;Cek informasi bahan;2022-01-12 04:14:57;uji;Syubhat
10397338861de55bb484f39076242917;Cek sertifikat halal;2022-01-12 04:15:05;uji;Syubhat
10397338861de55bb484f39076242917;Cek certificate analysis;2022-01-12 04:15:14;uji;Syubhat
10397338861de55bb484f39076242917;Cek kelompok bahan;2022-01-12 04:15:24;uji;Syubhat
10397338861de55bb484f39076242917;Cek bahan kritis margarin;2022-01-12 04:15:36;uji;Syubhat
10397338861de55bb484f39076242917;Cek jenis pewarna;2022-01-12 04:15:52;uji;Syubhat
10397338861de55bb484f39076242917;Cek kandungan pewarna;2022-01-12 04:16:01;uji;Syubhat
10397338861de55bb484f39076242917;Cek kandungan pelarut (pewarna);2022-01-12 04:16:15;uji;Syubhat
10397338861de55bb484f39076242917;Cek kandungan pelapis (pewarna);2022-01-12 04:16:38;uji;Syubhat
10397338861de55bb484f39076242917;Cek sumber etanol (pewarna);2022-01-12 04:16:26;uji;Halal
10397338861de55bb484f39076242917;Cek kehalalan hewan (pewarna);2022-01-12 04:17:06;uji;Halal
10397338861de55bb484f39076242917;Cek metode penyembelihan (pewarna);2022-01-12 04:17:23;uji;Haram
10397338861de55bb484f39076242917;Ambil Kesimpulan;2022-01-12 04:17:38;uji;Haram
11016845761dffda1576199035418798;Cek informasi bahan;2022-01-13 10:23:37;uji;Syubhat
11016845761dffda1576199035418798;Cek sertifikat halal;2022-01-13 10:23:48;uji;Syubhat
